county,fiscal_year,delivery_system,beneficiaries,yoy_growth_pct
Merced,2022/23,SMHS,10119.0,10.55
Modoc,2019/20,NSMHS,765.0,
Modoc,2019/20,SMHS,896.0,
Modoc,2020/21,NSMHS,779.0,-5.36
Modoc,2020/21,SMHS,793.0,-5.36
Modoc,2021/22,NSMHS,762.0,-2.1
Modoc,2021/22,SMHS,777.0,-2.1
Modoc,2022/23,NSMHS,846.0,6.82
Modoc,2022/23,SMHS,798.0,6.82
Mono,2019/20,NSMHS,570.0,
Mono,2019/20,SMHS,235.0,
Mono,2020/21,NSMHS,567.0,9.69
Mono,2020/21,SMHS,316.0,9.69
Mono,2021/22,NSMHS,665.0,14.04
Mono,2021/22,SMHS,342.0,14.04
Mono,2022/23,NSMHS,618.0,-8.34
Mono,2022/23,SMHS,305.0,-8.34
Monterey,2019/20,NSMHS,25024.0,
Monterey,2019/20,SMHS,16349.0,
Monterey,2020/21,NSMHS,25358.0,2.27
Monterey,2020/21,SMHS,16954.0,2.27
Monterey,2021/22,NSMHS,26797.0,0.23
Monterey,2021/22,SMHS,15612.0,0.23
Monterey,2022/23,NSMHS,30787.0,9.92
Monterey,2022/23,SMHS,15827.0,9.92
Napa,2019/20,NSMHS,7261.0,
Napa,2019/20,SMHS,2466.0,
Napa,2020/21,NSMHS,7357.0,-0.07
Napa,2020/21,SMHS,2363.0,-0.07
Napa,2021/22,NSMHS,8402.0,10.08
Napa,2021/22,SMHS,2298.0,10.08
Napa,2022/23,NSMHS,8727.0,4.12
Napa,2022/23,SMHS,2414.0,4.12
Nevada,2019/20,NSMHS,8886.0,
Nevada,2019/20,SMHS,3287.0,
Nevada,2020/21,NSMHS,10081.0,10.65
Nevada,2020/21,SMHS,3389.0,10.65
Nevada,2021/22,NSMHS,10038.0,1.5
Nevada,2021/22,SMHS,3634.0,1.5
Nevada,2022/23,NSMHS,12174.0,15.29
Nevada,2022/23,SMHS,3589.0,15.29
Orange,2019/20,NSMHS,185453.0,
Orange,2019/20,SMHS,38192.0,
Orange,2020/21,NSMHS,174753.0,-4.32
Orange,2020/21,SMHS,39236.0,-4.32
Orange,2021/22,NSMHS,197980.0,10.23
Orange,2021/22,SMHS,37896.0,10.23
Orange,2022/23,NSMHS,230828.0,14.43
Orange,2022/23,SMHS,39078.0,14.43
Placer,2019/20,NSMHS,14782.0,
Placer,2019/20,SMHS,6231.0,
Placer,2020/21,NSMHS,16125.0,6.75
Placer,2020/21,SMHS,6306.0,6.75
Placer,2021/22,NSMHS,16013.0,0.8
Placer,2021/22,SMHS,6598.0,0.8
Placer,2022/23,NSMHS,17679.0,7.23
Placer,2022/23,SMHS,6566.0,7.23
Plumas,2019/20,NSMHS,1549.0,
Plumas,2019/20,SMHS,1006.0,
Plumas,2020/21,NSMHS,1453.0,-10.33
Plumas,2020/21,SMHS,838.0,-10.33
