county,fiscal_year,beneficiaries,age_group
Del Norte,2022/23,710.0,57-68
El Dorado,2019/20,2176.0,57-68
El Dorado,2020/21,2122.0,57-68
El Dorado,2021/22,1949.0,57-68
El Dorado,2022/23,2042.0,57-68
Fresno,2019/20,14775.0,57-68
Fresno,2020/21,15573.0,57-68
Fresno,2021/22,14763.0,57-68
Fresno,2022/23,15527.0,57-68
Glenn,2019/20,503.0,57-68
Glenn,2020/21,541.0,57-68
Glenn,2021/22,536.0,57-68
Glenn,2022/23,544.0,57-68
Humboldt,2019/20,3675.0,57-68
Humboldt,2020/21,3820.0,57-68
Humboldt,2021/22,3809.0,57-68
Humboldt,2022/23,3804.0,57-68
Imperial,2019/20,4165.0,57-68
Imperial,2020/21,4228.0,57-68
Imperial,2021/22,4440.0,57-68
Imperial,2022/23,4741.0,57-68
Inyo,2019/20,279.0,57-68
Inyo,2020/21,291.0,57-68
Inyo,2021/22,176.0,57-68
Inyo,2022/23,190.0,57-68
Kern,2019/20,16733.0,57-68
Kern,2020/21,17584.0,57-68
Kern,2021/22,18880.0,57-68
Kern,2022/23,21483.0,57-68
Kings,2019/20,2437.0,57-68
Kings,2020/21,2203.0,57-68
Kings,2021/22,2122.0,57-68
Kings,2022/23,2292.0,57-68
Lake,2019/20,2670.0,57-68
Lake,2020/21,2847.0,57-68
Lake,2021/22,2957.0,57-68
Lake,2022/23,3036.0,57-68
Lassen,2019/20,253.0,57-68
Lassen,2020/21,444.0,57-68
Lassen,2021/22,487.0,57-68
Lassen,2022/23,487.0,57-68
Los Angeles,2019/20,169148.0,57-68
Los Angeles,2020/21,171441.0,57-68
Los Angeles,2021/22,174030.0,57-68
Los Angeles,2022/23,198850.0,57-68
Madera,2019/20,2481.0,57-68
Madera,2020/21,4094.0,57-68
Madera,2021/22,2832.0,57-68
Madera,2022/23,3483.0,57-68
Marin,2019/20,3902.0,57-68
Marin,2020/21,3936.0,57-68
Marin,2021/22,4353.0,57-68
Marin,2022/23,4280.0,57-68
Mariposa,2019/20,385.0,57-68
Mariposa,2020/21,352.0,57-68
Mariposa,2021/22,383.0,57-68
Mariposa,2022/23,399.0,57-68
Mendocino,2019/20,3242.0,57-68
Mendocino,2020/21,2968.0,57-68
Mendocino,2021/22,3074.0,57-68
Mendocino,2022/23,3281.0,57-68
Merced,2019/20,3990.0,57-68
Merced,2020/21,4282.0,57-68
Merced,2021/22,4267.0,57-68
Merced,2022/23,4844.0,57-68
Modoc,2019/20,120.0,57-68
Modoc,2020/21,143.0,57-68
Modoc,2021/22,133.0,57-68
Modoc,2022/23,162.0,57-68
Mono,2019/20,0.0,57-68
Mono,2020/21,24.0,57-68
Mono,2021/22,13.0,57-68
Mono,2022/23,26.0,57-68
Monterey,2019/20,5724.0,57-68
Monterey,2020/21,6042.0,57-68
Monterey,2021/22,5585.0,57-68
Monterey,2022/23,6287.0,57-68
Napa,2019/20,1652.0,57-68
Napa,2020/21,1507.0,57-68
Napa,2021/22,1685.0,57-68
Napa,2022/23,1860.0,57-68
Nevada,2019/20,2058.0,57-68
Nevada,2020/21,2097.0,57-68
Nevada,2021/22,2076.0,57-68
Nevada,2022/23,2542.0,57-68
Orange,2019/20,40229.0,57-68
Orange,2020/21,35719.0,57-68
Orange,2021/22,39714.0,57-68
Orange,2022/23,48528.0,57-68
Placer,2019/20,3394.0,57-68
Placer,2020/21,3706.0,57-68
Placer,2021/22,3581.0,57-68
Placer,2022/23,3877.0,57-68
Plumas,2019/20,68.0,57-68
Plumas,2020/21,292.0,57-68
Plumas,2021/22,112.0,57-68
Plumas,2022/23,345.0,57-68
Riverside,2019/20,37032.0,57-68
Riverside,2020/21,38061.0,57-68
Riverside,2021/22,42158.0,57-68
Riverside,2022/23,51709.0,57-68
Sacramento,2019/20,28469.0,57-68
Sacramento,2020/21,28431.0,57-68
Sacramento,2021/22,27811.0,57-68
Sacramento,2022/23,30125.0,57-68
San Benito,2019/20,350.0,57-68
San Benito,2020/21,374.0,57-68
San Benito,2021/22,255.0,57-68
San Benito,2022/23,346.0,57-68
San Bernardino,2019/20,35678.0,57-68
San Bernardino,2020/21,35636.0,57-68
San Bernardino,2021/22,38298.0,57-68
San Bernardino,2022/23,47007.0,57-68
San Diego,2019/20,65009.0,57-68
San Diego,2020/21,62385.0,57-68
San Diego,2021/22,65330.0,57-68
San Diego,2022/23,75332.0,57-68
San Francisco,2019/20,16154.0,57-68
San Francisco,2020/21,15874.0,57-68
San Francisco,2021/22,15683.0,57-68
San Francisco,2022/23,16145.0,57-68
San Joaquin,2019/20,17023.0,57-68
San Joaquin,2020/21,17045.0,57-68
San Joaquin,2021/22,16933.0,57-68
San Joaquin,2022/23,19979.0,57-68
San Luis Obispo,2019/20,5186.0,57-68
San Luis Obispo,2020/21,5421.0,57-68
San Luis Obispo,2021/22,5196.0,57-68
San Luis Obispo,2022/23,5580.0,57-68
San Mateo,2019/20,9677.0,57-68
San Mateo,2020/21,9119.0,57-68
San Mateo,2021/22,9861.0,57-68
San Mateo,2022/23,10374.0,57-68
Santa Barbara,2019/20,7112.0,57-68
Santa Barbara,2020/21,7503.0,57-68
Santa Barbara,2021/22,8261.0,57-68
Santa Barbara,2022/23,9066.0,57-68
Santa Clara,2019/20,14940.0,57-68
Santa Clara,2020/21,15964.0,57-68
Santa Clara,2021/22,17375.0,57-68
Santa Clara,2022/23,18736.0,57-68
Santa Cruz,2019/20,5912.0,57-68
Santa Cruz,2020/21,5524.0,57-68
Santa Cruz,2021/22,5623.0,57-68
Santa Cruz,2022/23,5656.0,57-68
Shasta,2019/20,5663.0,57-68
Shasta,2020/21,5877.0,57-68
Shasta,2021/22,5731.0,57-68
Shasta,2022/23,6231.0,57-68
Sierra,2019/20,13.0,57-68
Sierra,2020/21,18.0,57-68
Sierra,2021/22,12.0,57-68
Sierra,2022/23,0.0,57-68
Siskiyou,2019/20,1489.0,57-68
Siskiyou,2020/21,1493.0,57-68
Siskiyou,2021/22,1493.0,57-68
Siskiyou,2022/23,1324.0,57-68
Small-Rural Counties,2019/20,8044.0,57-68
Small-Rural Counties,2020/21,7965.0,57-68
Small-Rural Counties,2021/22,8109.0,57-68
Small-Rural Counties,2022/23,8187.0,57-68
Solano,2019/20,6153.0,57-68
Solano,2020/21,6222.0,57-68
Solano,2021/22,6009.0,57-68
Solano,2022/23,6181.0,57-68
Sonoma,2019/20,8067.0,57-68
Sonoma,2020/21,7213.0,57-68
Sonoma,2021/22,7605.0,57-68
Sonoma,2022/23,8227.0,57-68
Stanislaus,2019/20,9014.0,57-68
Stanislaus,2020/21,8629.0,57-68
Stanislaus,2021/22,8493.0,57-68
Stanislaus,2022/23,9673.0,57-68
Sutter,2019/20,1325.0,57-68
Sutter,2020/21,1307.0,57-68
Sutter,2021/22,1261.0,57-68
Sutter,2022/23,1431.0,57-68
Tehama,2019/20,1671.0,57-68
Tehama,2020/21,1555.0,57-68
Tehama,2021/22,1256.0,57-68
Tehama,2022/23,1183.0,57-68
Trinity,2019/20,148.0,57-68
Trinity,2020/21,163.0,57-68
Trinity,2021/22,219.0,57-68
Trinity,2022/23,264.0,57-68
Tulare,2019/20,7316.0,57-68
Tulare,2020/21,6955.0,57-68
Tulare,2021/22,7186.0,57-68
Tulare,2022/23,8651.0,57-68
Tuolumne,2019/20,1318.0,57-68
Tuolumne,2020/21,1299.0,57-68
Tuolumne,2021/22,1315.0,57-68
Tuolumne,2022/23,1329.0,57-68
Ventura,2019/20,11563.0,57-68
Ventura,2020/21,11501.0,57-68
Ventura,2021/22,12055.0,57-68
Ventura,2022/23,12656.0,57-68
Yolo,2019/20,2837.0,57-68
Yolo,2020/21,2684.0,57-68
Yolo,2021/22,2686.0,57-68
Yolo,2022/23,2765.0,57-68
Yuba,2019/20,1381.0,57-68
Yuba,2020/21,1331.0,57-68
Yuba,2021/22,1331.0,57-68
Yuba,2022/23,1399.0,57-68
Alameda,2019/20,8606.0,69+
Alameda,2020/21,8422.0,69+
Alameda,2021/22,7949.0,69+
Alameda,2022/23,9225.0,69+
Alpine,2019/20,0.0,69+
Alpine,2020/21,0.0,69+
Alpine,2021/22,0.0,69+
Amador,2019/20,100.0,69+
Amador,2020/21,94.0,69+
Amador,2021/22,87.0,69+
Amador,2022/23,101.0,69+
Butte,2019/20,1274.0,69+
Butte,2020/21,1481.0,69+
Butte,2021/22,1510.0,69+
Butte,2022/23,1568.0,69+
Calaveras,2019/20,142.0,69+
Calaveras,2020/21,173.0,69+
Calaveras,2021/22,151.0,69+
Calaveras,2022/23,150.0,69+
Colusa,2019/20,68.0,69+
Colusa,2020/21,81.0,69+
Colusa,2021/22,109.0,69+
Colusa,2022/23,117.0,69+
Contra Costa,2019/20,3350.0,69+
Contra Costa,2020/21,3605.0,69+
Contra Costa,2021/22,3884.0,69+
Contra Costa,2022/23,4307.0,69+
Del Norte,2019/20,207.0,69+
Del Norte,2020/21,213.0,69+
Del Norte,2021/22,209.0,69+
Del Norte,2022/23,245.0,69+
El Dorado,2019/20,413.0,69+
El Dorado,2020/21,399.0,69+
El Dorado,2021/22,389.0,69+
El Dorado,2022/23,531.0,69+
Fresno,2019/20,3935.0,69+
Fresno,2020/21,3399.0,69+
Fresno,2021/22,3353.0,69+
Fresno,2022/23,3849.0,69+
Glenn,2019/20,185.0,69+
Glenn,2020/21,234.0,69+
Glenn,2021/22,162.0,69+
Glenn,2022/23,163.0,69+
Humboldt,2019/20,988.0,69+
Humboldt,2020/21,1070.0,69+
Humboldt,2021/22,1186.0,69+
Humboldt,2022/23,1312.0,69+
Imperial,2019/20,2375.0,69+
Imperial,2020/21,2118.0,69+
Imperial,2021/22,2469.0,69+
Imperial,2022/23,2524.0,69+
Inyo,2019/20,119.0,69+
Inyo,2020/21,106.0,69+
Inyo,2021/22,51.0,69+
Inyo,2022/23,84.0,69+
Kern,2019/20,3178.0,69+
Kern,2020/21,3389.0,69+
Kern,2021/22,4155.0,69+
Kern,2022/23,5842.0,69+
Kings,2019/20,753.0,69+
Kings,2020/21,671.0,69+
Kings,2021/22,605.0,69+
Kings,2022/23,694.0,69+
Lake,2019/20,830.0,69+
Lake,2020/21,895.0,69+
Lake,2021/22,1066.0,69+
Lake,2022/23,989.0,69+
Lassen,2019/20,63.0,69+
Lassen,2020/21,107.0,69+
Lassen,2021/22,159.0,69+
Lassen,2022/23,164.0,69+
Los Angeles,2019/20,76208.0,69+
Los Angeles,2020/21,74011.0,69+
Los Angeles,2021/22,75022.0,69+
Los Angeles,2022/23,90005.0,69+
Madera,2019/20,607.0,69+
Madera,2020/21,762.0,69+
Madera,2021/22,548.0,69+
Madera,2022/23,816.0,69+
Marin,2019/20,1595.0,69+
Marin,2020/21,1725.0,69+
Marin,2021/22,2077.0,69+
Marin,2022/23,1964.0,69+
Mariposa,2019/20,104.0,69+
Mariposa,2020/21,109.0,69+
Mariposa,2021/22,126.0,69+
Mariposa,2022/23,104.0,69+
Mendocino,2019/20,1179.0,69+
Mendocino,2020/21,1009.0,69+
Mendocino,2021/22,1278.0,69+
Mendocino,2022/23,1280.0,69+
Merced,2019/20,1372.0,69+
Merced,2020/21,1501.0,69+
Merced,2021/22,1602.0,69+
Merced,2022/23,1578.0,69+
Modoc,2019/20,0.0,69+
Modoc,2020/21,49.0,69+
Modoc,2021/22,61.0,69+
Modoc,2022/23,54.0,69+
Mono,2019/20,0.0,69+
Mono,2020/21,0.0,69+
Mono,2021/22,0.0,69+
Mono,2022/23,0.0,69+
Monterey,2019/20,2507.0,69+
Monterey,2020/21,2404.0,69+
Monterey,2021/22,2289.0,69+
Monterey,2022/23,2796.0,69+
Napa,2019/20,661.0,69+
Napa,2020/21,601.0,69+
Napa,2021/22,817.0,69+
Napa,2022/23,807.0,69+
Nevada,2019/20,374.0,69+
Nevada,2020/21,362.0,69+
Nevada,2021/22,457.0,69+
Nevada,2022/23,555.0,69+
Orange,2019/20,16241.0,69+
Orange,2020/21,17014.0,69+
Orange,2021/22,18914.0,69+
Orange,2022/23,21859.0,69+
Placer,2019/20,1004.0,69+
Placer,2020/21,814.0,69+
Placer,2021/22,866.0,69+
Placer,2022/23,979.0,69+
Plumas,2019/20,11.0,69+
Plumas,2020/21,56.0,69+
Plumas,2021/22,22.0,69+
Plumas,2022/23,73.0,69+
Riverside,2019/20,8954.0,69+
Riverside,2020/21,9204.0,69+
Riverside,2021/22,10254.0,69+
Riverside,2022/23,16104.0,69+
Sacramento,2019/20,6825.0,69+
Sacramento,2020/21,7038.0,69+
Sacramento,2021/22,7050.0,69+
Sacramento,2022/23,9024.0,69+
San Benito,2019/20,118.0,69+
San Benito,2020/21,118.0,69+
San Benito,2021/22,99.0,69+
San Benito,2022/23,118.0,69+
San Bernardino,2019/20,8226.0,69+
San Bernardino,2020/21,8152.0,69+
San Bernardino,2021/22,9203.0,69+
San Bernardino,2022/23,13931.0,69+
San Diego,2019/20,23757.0,69+
San Diego,2020/21,22544.0,69+
San Diego,2021/22,24963.0,69+
San Diego,2022/23,31121.0,69+
San Francisco,2019/20,6470.0,69+
San Francisco,2020/21,6807.0,69+
San Francisco,2021/22,7706.0,69+
San Francisco,2022/23,8664.0,69+
San Joaquin,2019/20,4798.0,69+
San Joaquin,2020/21,4477.0,69+
San Joaquin,2021/22,4680.0,69+
San Joaquin,2022/23,6548.0,69+
San Luis Obispo,2019/20,1642.0,69+
San Luis Obispo,2020/21,1586.0,69+
San Luis Obispo,2021/22,1474.0,69+
San Luis Obispo,2022/23,1603.0,69+
San Mateo,2019/20,4826.0,69+
San Mateo,2020/21,5326.0,69+
San Mateo,2021/22,5327.0,69+
San Mateo,2022/23,6394.0,69+
Santa Barbara,2019/20,2846.0,69+
Santa Barbara,2020/21,2812.0,69+
Santa Barbara,2021/22,2913.0,69+
Santa Barbara,2022/23,3717.0,69+
Santa Clara,2019/20,6571.0,69+
Santa Clara,2020/21,6978.0,69+
Santa Clara,2021/22,7587.0,69+
Santa Clara,2022/23,9239.0,69+
Santa Cruz,2019/20,2150.0,69+
Santa Cruz,2020/21,2218.0,69+
Santa Cruz,2021/22,2136.0,69+
Santa Cruz,2022/23,2353.0,69+
Shasta,2019/20,1616.0,69+
Shasta,2020/21,1579.0,69+
Shasta,2021/22,1656.0,69+
Shasta,2022/23,1718.0,69+
Sierra,2019/20,0.0,69+
Sierra,2020/21,0.0,69+
Sierra,2021/22,0.0,69+
Sierra,2022/23,0.0,69+
Siskiyou,2019/20,396.0,69+
Siskiyou,2020/21,467.0,69+
Siskiyou,2021/22,488.0,69+
Siskiyou,2022/23,445.0,69+
Small-Rural Counties,2019/20,2137.0,69+
Small-Rural Counties,2020/21,2399.0,69+
Small-Rural Counties,2021/22,2357.0,69+
Small-Rural Counties,2022/23,2469.0,69+
Solano,2019/20,2124.0,69+
Solano,2020/21,1836.0,69+
Solano,2021/22,2067.0,69+
Solano,2022/23,2011.0,69+
Sonoma,2019/20,2714.0,69+
Sonoma,2020/21,2223.0,69+
Sonoma,2021/22,2755.0,69+
Sonoma,2022/23,3085.0,69+
Stanislaus,2019/20,1948.0,69+
Stanislaus,2020/21,1897.0,69+
Stanislaus,2021/22,1971.0,69+
Stanislaus,2022/23,2442.0,69+
Sutter,2019/20,309.0,69+
Sutter,2020/21,313.0,69+
Sutter,2021/22,392.0,69+
Sutter,2022/23,415.0,69+
Tehama,2019/20,431.0,69+
Tehama,2020/21,437.0,69+
Tehama,2021/22,429.0,69+
Tehama,2022/23,378.0,69+
Trinity,2019/20,28.0,69+
Trinity,2020/21,69.0,69+
Trinity,2021/22,68.0,69+
Trinity,2022/23,107.0,69+
Tulare,2019/20,2675.0,69+
Tulare,2020/21,2112.0,69+
Tulare,2021/22,2007.0,69+
Tulare,2022/23,2536.0,69+
Tuolumne,2019/20,266.0,69+
Tuolumne,2020/21,309.0,69+
Tuolumne,2021/22,328.0,69+
Tuolumne,2022/23,322.0,69+
Ventura,2019/20,4133.0,69+
Ventura,2020/21,3476.0,69+
Ventura,2021/22,4126.0,69+
Ventura,2022/23,4920.0,69+
Yolo,2019/20,946.0,69+
Yolo,2020/21,975.0,69+
Yolo,2021/22,1030.0,69+
Yolo,2022/23,1034.0,69+
Yuba,2019/20,255.0,69+
Yuba,2020/21,242.0,69+
Yuba,2021/22,263.0,69+
Yuba,2022/23,330.0,69+
