county,fiscal_year,beneficiaries,sex
San Joaquin,2021/22,64961.0,Female
San Joaquin,2022/23,73678.0,Female
San Luis Obispo,2019/20,17290.0,Female
San Luis Obispo,2020/21,19948.0,Female
San Luis Obispo,2021/22,19395.0,Female
San Luis Obispo,2022/23,21413.0,Female
San Mateo,2019/20,26718.0,Female
San Mateo,2020/21,26228.0,Female
San Mateo,2021/22,27915.0,Female
San Mateo,2022/23,30365.0,Female
Santa Barbara,2019/20,23975.0,Female
Santa Barbara,2020/21,27646.0,Female
Santa Barbara,2021/22,28816.0,Female
Santa Barbara,2022/23,33026.0,Female
Santa Clara,2019/20,45745.0,Female
Santa Clara,2020/21,51751.0,Female
Santa Clara,2021/22,55929.0,Female
Santa Clara,2022/23,60862.0,Female
Santa Cruz,2019/20,19617.0,Female
Santa Cruz,2020/21,20021.0,Female
Santa Cruz,2021/22,20548.0,Female
Santa Cruz,2022/23,21287.0,Female
Shasta,2019/20,20079.0,Female
Shasta,2020/21,20275.0,Female
Shasta,2021/22,20541.0,Female
Shasta,2022/23,22113.0,Female
Sierra,2019/20,0.0,Female
Sierra,2020/21,0.0,Female
Sierra,2021/22,0.0,Female
Sierra,2022/23,0.0,Female
Siskiyou,2019/20,5092.0,Female
Siskiyou,2020/21,5107.0,Female
Siskiyou,2021/22,5050.0,Female
Siskiyou,2022/23,4876.0,Female
Small-Rural Counties,2019/20,25991.0,Female
Small-Rural Counties,2020/21,27168.0,Female
Small-Rural Counties,2021/22,27289.0,Female
Small-Rural Counties,2022/23,28560.0,Female
Solano,2019/20,22900.0,Female
Solano,2020/21,24238.0,Female
Solano,2021/22,24847.0,Female
Solano,2022/23,25552.0,Female
Sonoma,2019/20,27326.0,Female
Sonoma,2020/21,26901.0,Female
Sonoma,2021/22,28828.0,Female
Sonoma,2022/23,31266.0,Female
Stanislaus,2019/20,39135.0,Female
Stanislaus,2020/21,39321.0,Female
Stanislaus,2021/22,38279.0,Female
Stanislaus,2022/23,44000.0,Female
Sutter,2019/20,5926.0,Female
Sutter,2020/21,6224.0,Female
Sutter,2021/22,6462.0,Female
Sutter,2022/23,6805.0,Female
Tehama,2019/20,5800.0,Female
Tehama,2020/21,5576.0,Female
Tehama,2021/22,5199.0,Female
Tehama,2022/23,5949.0,Female
Trinity,2019/20,859.0,Female
Trinity,2020/21,1040.0,Female
Trinity,2021/22,997.0,Female
Trinity,2022/23,1109.0,Female
Tulare,2019/20,34322.0,Female
Tulare,2020/21,34570.0,Female
Tulare,2021/22,36090.0,Female
Tulare,2022/23,39667.0,Female
Tuolumne,2019/20,4282.0,Female
Tuolumne,2020/21,4230.0,Female
Tuolumne,2021/22,4286.0,Female
Tuolumne,2022/23,4351.0,Female
Ventura,2019/20,40287.0,Female
Ventura,2020/21,44576.0,Female
Ventura,2021/22,46563.0,Female
Ventura,2022/23,50983.0,Female
Yolo,2019/20,11228.0,Female
Yolo,2020/21,11133.0,Female
Yolo,2021/22,11821.0,Female
Yolo,2022/23,12286.0,Female
Yuba,2019/20,6238.0,Female
Yuba,2020/21,6133.0,Female
Yuba,2021/22,6535.0,Female
Yuba,2022/23,7153.0,Female
Alameda,2019/20,44499.0,Male
Alameda,2020/21,43524.0,Male
Alameda,2021/22,43740.0,Male
Alameda,2022/23,45705.0,Male
Alpine,2019/20,0.0,Male
Alpine,2020/21,0.0,Male
Alpine,2021/22,0.0,Male
Alpine,2022/23,0.0,Male
Amador,2019/20,1071.0,Male
Amador,2020/21,1041.0,Male
Amador,2021/22,1207.0,Male
Amador,2022/23,1141.0,Male
Butte,2019/20,12770.0,Male
Butte,2020/21,12661.0,Male
Butte,2021/22,12143.0,Male
Butte,2022/23,12170.0,Male
Calaveras,2019/20,1437.0,Male
Calaveras,2020/21,1663.0,Male
Calaveras,2021/22,1569.0,Male
Calaveras,2022/23,1626.0,Male
Colusa,2019/20,639.0,Male
Colusa,2020/21,673.0,Male
Colusa,2021/22,746.0,Male
Colusa,2022/23,1086.0,Male
Contra Costa,2019/20,24022.0,Male
Contra Costa,2020/21,25441.0,Male
Contra Costa,2021/22,27656.0,Male
Contra Costa,2022/23,27643.0,Male
Del Norte,2019/20,2095.0,Male
Del Norte,2020/21,2078.0,Male
Del Norte,2021/22,1964.0,Male
Del Norte,2022/23,1838.0,Male
El Dorado,2019/20,4856.0,Male
El Dorado,2020/21,5111.0,Male
El Dorado,2021/22,4869.0,Male
El Dorado,2022/23,5254.0,Male
Fresno,2019/20,37860.0,Male
Fresno,2020/21,41133.0,Male
Fresno,2021/22,39652.0,Male
Fresno,2022/23,40913.0,Male
Glenn,2019/20,1154.0,Male
Glenn,2020/21,1083.0,Male
Glenn,2021/22,1025.0,Male
Glenn,2022/23,1202.0,Male
Humboldt,2019/20,9304.0,Male
Humboldt,2020/21,10798.0,Male
Humboldt,2021/22,10592.0,Male
Humboldt,2022/23,10762.0,Male
Imperial,2019/20,8278.0,Male
Imperial,2020/21,8154.0,Male
Imperial,2021/22,8560.0,Male
Imperial,2022/23,9190.0,Male
Inyo,2019/20,710.0,Male
Inyo,2020/21,739.0,Male
Inyo,2021/22,640.0,Male
Inyo,2022/23,673.0,Male
Kern,2019/20,38085.0,Male
Kern,2020/21,40925.0,Male
Kern,2021/22,42746.0,Male
Kern,2022/23,48252.0,Male
Kings,2019/20,5551.0,Male
Kings,2020/21,5213.0,Male
Kings,2021/22,5067.0,Male
Kings,2022/23,5391.0,Male
Lake,2019/20,4488.0,Male
Lake,2020/21,4753.0,Male
Lake,2021/22,4850.0,Male
Lake,2022/23,4994.0,Male
Lassen,2019/20,1290.0,Male
Lassen,2020/21,1349.0,Male
Lassen,2021/22,1263.0,Male
Lassen,2022/23,1216.0,Male
Los Angeles,2019/20,377034.0,Male
Los Angeles,2020/21,385011.0,Male
Los Angeles,2021/22,394031.0,Male
Los Angeles,2022/23,436794.0,Male
Madera,2019/20,5173.0,Male
Madera,2020/21,8748.0,Male
Madera,2021/22,6679.0,Male
